"date","smoothed_capacity"
2015-11-11,4533.37534246575
2015-11-12,4533.73424657534
2015-11-13,4534.09315068493
2015-11-14,4534.45205479452
2015-11-15,4534.81095890411
2015-11-16,4535.1698630137
2015-11-17,4535.52876712329
2015-11-18,4535.88767123288
2015-11-19,4536.24657534247
2015-11-20,4536.60547945206
2015-11-21,4536.96438356164
2015-11-22,4537.32328767123
2015-11-23,4537.68219178082
2015-11-24,4538.04109589041
2015-11-25,4538.4
2015-11-26,4538.75890410959
2015-11-27,4539.11780821918
2015-11-28,4539.47671232877
2015-11-29,4539.83561643836
2015-11-30,4540.19452054795
2015-12-01,4540.55342465753
2015-12-02,4540.91232876712
2015-12-03,4541.27123287671
2015-12-04,4541.6301369863
2015-12-05,4541.98904109589
2015-12-06,4542.34794520548
2015-12-07,4542.70684931507
2015-12-08,4543.06575342466
2015-12-09,4543.42465753425
2015-12-10,4543.78356164384
2015-12-11,4544.14246575342
2015-12-12,4544.50136986301
2015-12-13,4544.8602739726
2015-12-14,4545.21917808219
2015-12-15,4545.57808219178
2015-12-16,4545.93698630137
2015-12-17,4546.29589041096
2015-12-18,4546.65479452055
2015-12-19,4547.01369863014
2015-12-20,4547.37260273973
2015-12-21,4547.73150684932
2015-12-22,4548.0904109589
2015-12-23,4548.44931506849
2015-12-24,4548.80821917808
2015-12-25,4549.16712328767
2015-12-26,4549.52602739726
2015-12-27,4549.88493150685
2015-12-28,4550.24383561644
2015-12-29,4550.60273972603
2015-12-30,4550.96164383562
2015-12-31,4551.32054794521
2016-01-01,4551.67945205479
2016-01-02,4552.03835616438
2016-01-03,4552.39726027397
2016-01-04,4552.75616438356
2016-01-05,4553.11506849315
2016-01-06,4553.47397260274
2016-01-07,4553.83287671233
2016-01-08,4554.19178082192
2016-01-09,4554.55068493151
2016-01-10,4554.9095890411
2016-01-11,4555.26849315068
2016-01-12,4555.62739726027
2016-01-13,4555.98630136986
2016-01-14,4556.34520547945
2016-01-15,4556.70410958904
2016-01-16,4557.06301369863
2016-01-17,4557.42191780822
2016-01-18,4557.78082191781
2016-01-19,4558.1397260274
2016-01-20,4558.49863013699
2016-01-21,4558.85753424658
2016-01-22,4559.21643835616
2016-01-23,4559.57534246575
2016-01-24,4559.93424657534
2016-01-25,4560.29315068493
2016-01-26,4560.65205479452
2016-01-27,4561.01095890411
2016-01-28,4561.3698630137
2016-01-29,4561.72876712329
2016-01-30,4562.08767123288
2016-01-31,4562.44657534247
2016-02-01,4562.80547945205
2016-02-02,4563.16438356164
2016-02-03,4563.52328767123
2016-02-04,4563.88219178082
2016-02-05,4564.24109589041
2016-02-06,4564.6
2016-02-07,4564.95890410959
2016-02-08,4565.31780821918
2016-02-09,4565.67671232877
2016-02-10,4566.03561643836
2016-02-11,4566.39452054794
2016-02-12,4566.75342465753
2016-02-13,4567.11232876712
2016-02-14,4567.47123287671
2016-02-15,4567.8301369863
2016-02-16,4568.18904109589
2016-02-17,4568.54794520548
2016-02-18,4568.90684931507
2016-02-19,4569.26575342466
2016-02-20,4569.62465753425
2016-02-21,4569.98356164384
2016-02-22,4570.34246575342
2016-02-23,4570.70136986301
2016-02-24,4571.0602739726
2016-02-25,4571.41917808219
2016-02-26,4571.77808219178
2016-02-27,4572.13698630137
2016-02-28,4572.49589041096
2016-02-29,4572.85479452055
2016-03-01,4573.21369863014
2016-03-02,4573.57260273973
2016-03-03,4573.93150684932
2016-03-04,4574.2904109589
2016-03-05,4574.64931506849
2016-03-06,4575.00821917808
2016-03-07,4575.36712328767
2016-03-08,4575.72602739726
2016-03-09,4576.08493150685
2016-03-10,4576.44383561644
2016-03-11,4576.80273972603
2016-03-12,4577.16164383562
2016-03-13,4577.52054794521
2016-03-14,4577.87945205479
2016-03-15,4578.23835616438
2016-03-16,4578.59726027397
2016-03-17,4578.95616438356
2016-03-18,4579.31506849315
